Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C15, C16, C17, C18, C20, C21, C22, C23, C4, C5, C9",C_0805,16,18pF,
"C14, C19, C24, C6",0805,4,33pF,
C2,C_0603,1,1uf,
C3,C_0603,1,0.01 uf,
C7,C_0603,1,0.1uf,
C8,C_0603,1,0.01uf,
J1,"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",1,Sensor_2,
J2,"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",1,Sensor_1,
J3,"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",1,Sensor_0,
J4,"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",1,Sensor_3,
J5,PinHeader_1x07_P2.54mm_Vertical,1,I/O,
"L1, L2, L3, L4",1210,4,18uH,
"R1, R10, R2, R3, R4, R5, R6, R7, R8, R9",0805,10,0,
U1,RGH0016A,1,FDC2214RGHT,
U2,IC_625L3C040M00000_CTS-M,1,625L3C040M00000,
